"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"3864","10598","1491360","397540","1","The First National Bank of Fort Smith","Fort Smith","AR","3/31/2011","N","1","1096267","1494","0","32554","0","0","20","44372","102012","87600","57833","784772","304819","47574","209148","153191","196539","3482","35114","0","0","121647","303","6137","13172","3998"
"3878","0","3101784","2967349","0","Liberty Bank of Arkansas","Jonesboro","AR","3/31/2011","SM","1","2586733","3450","81427","175632","0","0","4","257479","95880","361179","279963","1643791","638219","112622","209997","462365","547961","5225","38228","0","0","88627","0","629","18118","3972"
"3890","11473","1094828","663245","1","Simmons First National Bank","Pine Bluff","AR","3/31/2011","N","1","1921635","0","191454","43969","0","0","35","71408","109035","210830","50034","985546","276874","336446","417075","272811","179942","19867","22581","0","0","141068","0","6957","42396","2169"
"3931","10999","2067007","933256","0","Alerus Financial, National Association","Grand Forks","ND","3/31/2011","N","1","1181715","823","12574","20000","2500","0","4100","12018","79636","71501","228229","682881","680934","16409","64330","163098","117634","23641","7474","0","0","216035","0","1307","17145","1812"
"4016","12075","1126354","326858","0","The First National Bank in Sioux Falls","Sioux Falls","SD","3/31/2011","N","1","1045126","0","154244","3325","0","0","32995","8700","87398","12384","328300","571611","0","398043","77993","187911","85564","16753","26348","0","0","154791","0","39","22096","1386"
"4048","11433","1062135","142955","0","SpiritBank","Tulsa","OK","3/31/2011","NM","1","1319029","109542","24193","80918","5750","0","1271","64191","48102","0","64621","1003895","99293","225477","70050","278846","408029","164","22317","0","0","154301","0","7723","11741","2787"
"4063","14191","0","595270","0","MidFirst Bank","Oklahoma City","OK","3/31/2011","SA","1","10336387","500","0","2752735","0","0","1000","66779","978613","292064","754990","8048799","1267629","1025551","621415","N/A","998673","82549","N/A","N/A","N/A","1213","102348","1763702","230436","53872"
"4201","0","1062621","398350","1","The Stillwater National Bank and Trust Company","Stillwater","OK","3/31/2011","N","1","2419467","0","27274","53058","15000","0","15698","137597","200913","13041","210583","2083023","753636","15363","92665","576409","521364","9747","66201","0","0","122052","0","529","128860","2756"
"4214","9656","1883693","339858","1","BOKF, National Association","Tulsa","OK","3/31/2011","N","1","23549184","2462","1473202","28347","398744","0","82517","1025779","1172908","340004","9600703","10703822","12141047","209264","1036991","1563598","2116429","183051","127882","30087","0","4777719","6457","56436","225964","63951"
"4239","12231","1058398","509950","0","First United Bank and Trust Company","Durant","OK","3/31/2011","NM","1","2139756","0","134850","49038","0","0","1868","80216","112270","0","403687","1439822","577457","80654","317048","298716","474795","13874","35152","0","0","47313","0","485","36771","4169"
"4255","9393","1130249","593007","1","The Camden National Bank","Camden","ME","3/31/2011","N","1","2317392","0","345856","169044","0","0","369","20226","204194","0","621958","1536463","714844","167928","140512","300855","240677","160954","34389","0","0","90327","0","430","19927","6517"
"4256","10325","1133932","439404","0","The First, N.A.","Damariscotta","ME","3/31/2011","N","1","1399217","0","61477","156057","0","25000","300","21750","75916","109936","325057","895134","73766","249026","47572","308127","372458","56248","6310","0","0","41529","0","291","22498","3161"
"4297","11780","2277860","112837","1","Capital One, National Association","Mclean","VA","3/31/2011","N","1","128743716","0","1574754","1154579","0","0","23627","23874690","625322","5851","30495685","69858648","40698816","28202657","10594339","8783237","4253319","1575891","1439753","501699","0","10675180","20946","1180240","1251482","336529"
"4360","9216","1209136","130541","0","Horizon Bank, National Association","Michigan City","IN","3/31/2011","N","1","1379909","0","135398","88960","0","0","2618","74317","58127","10632","434798","814519","86561","468225","96381","160074","200059","65666","16602","0","0","54296","1060","350","17177","3095"
