"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"1105","11071","1123670","659855","0","First Interstate Bank","Billings","MT","3/31/2004","SM","1","3863024","58140","336994","34637","0","0","50000","147434","135677","95837","710590","2568269","1133048","590652","396251","630494","387681","39722","145260","300056","0","75257","14277","2047","25765","10391"
"1225","0","0","871769","0","Farmers and Merchants Bank of Long Beach","Long Beach","CA","3/31/2004","SM","1","2813715","120000","308916","0","0","0","3156","5835","553653","992848","410526","1155626","890153","611435","152535","129136","146053","7440","27052","0","0","204800","0","3735","2879","12855"
"1281","10107","1029464","58971","0","Washington Trust Bank","Spokane","WA","3/31/2004","NM","1","2259535","14000","62482","25325","0","0","7535","32665","187095","0","320693","1793460","950617","114708","263976","273817","320067","91017","85322","11639","0","597639","222","362","16580","6060"
"1331","13589","2781910","808260","0","Farmers & Merchants Bank of Central California","Lodi","CA","3/31/2004","SM","1","1119186","2900","0","80918","0","0","1","43582","74983","35982","201066","796779","339344","158649","95238","150290","166056","93325","70190","530","0","249405","0","52","2528","4069"
"1536","16038","1399765","479268","0","Bank of Stockton","Stockton","CA","3/31/2004","NM","1","1680494","63865","12777","15117","0","0","1454","64000","123990","4214","360189","1097419","468806","175887","287964","210761","281749","34974","63611","0","0","267071","0","387","8261","4909"
"1768","12587","0","936462","0","The Mechanics Bank","Richmond","CA","3/31/2004","NM","1","2235208","146000","45143","53841","0","0","1000","13250","215314","0","394425","1592075","898999","173855","108742","309972","392910","94629","56210","0","0","164402","155","0","92","6081"
"2095","13051","1075126","922728","0","Riggs Bank National Association","Mclean","VA","3/31/2004","N","1","5872977","136000","642591","475261","0","0","20771","293022","134324","0","1815653","3198622","2078572","159981","1050290","266940","237225","335460","54279","13045","0","1079265","31787","8951","2051","9133"
"2111","0","1078846","580623","1","The National Bank of South Carolina","Sumter","SC","3/31/2004","N","1","2998822","26434","390557","147974","0","0","4650","87368","158016","0","316860","2451426","931350","158447","397519","209165","500712","105031","24974","0","0","6750","0","2352","4562","12650"
"2270","8926","1027004","276579","1","Zions First National Bank","Salt Lake City","UT","3/31/2004","N","1","11689716","1292574","2006538","338668","201311","0","15000","229246","529845","408197","1094297","7134717","2440857","2541364","608378","305125","1079713","592524","369988","42936","0","1325047","3775","16187","23858","45854"
"2345","9271","1029893","593865","1","West Coast Bank","Lake Oswego","OR","3/31/2004","NM","1","1680955","4858","5010","117729","0","0","900","47197","106681","0","305328","1266189","699387","90480","283548","189529","130741","97164","75513","0","0","230566","0","41","3559","5356"
"2558","0","1113514","76201","1","Fleet National Bank","Providence","RI","3/31/2004","N","1","195323000","14459000","5953000","9028000","4050000","0","1000","10902000","8484000","496000","28612000","124609000","79543000","9653000","23598000","10165000","8921000","13891000","1759000","1465000","0","58291000","2005000","286000","1200000","788000"
"2720","9685","1070644","509811","1","Community Trust Bank, Inc.","Pikeville","KY","3/31/2004","SM","1","2450170","30103","96071","3774","0","0","2850","139665","131455","78890","341180","1771012","379716","222833","392153","700354","367025","66235","95810","175","0","110413","0","4980","11423","8176"
"2756","0","1069125","374149","1","National City Bank of Kentucky","Louisville","KY","3/31/2004","N","1","7797800","1067175","914196","54447","229611","0","21000","53828","642948","0","668591","5529074","1136222","1434290","1079888","845273","323694","85352","2856","1093","0","2114381","15851","23116","43102","21999"
"2993","10478","1027004","933957","1","Vectra Bank Colorado, National Association","Farmington","NM","3/31/2004","N","1","2471300","78502","101291","200050","66247","0","5185","439528","-62861","0","392458","1643045","347500","794237","228257","186439","143739","157200","142845","8789","0","257137","11849","2897","16504","2768"
"3297","10658","2189897","800750","1","The Laredo National Bank","Laredo","TX","3/31/2004","N","1","2661634","0","92767","65502","0","0","6019","36000","170062","8235","721287","1568716","686201","80329","118822","334798","1047322","193","72093","6592","0","87981","1324","13120","10338","7091"
"3430","0","1025541","697763","0","Westamerica Bank","San Rafael","CA","3/31/2004","SM","1","4391870","0","487902","20000","0","6000","151016","54397","124724","586172","1211753","2322881","1653191","377974","796385","271347","354307","83431","35624","0","0","263082","165","190","7257","23931"
"3510","0","1073757","480228","1","Bank of America, National Association","Charlotte","NC","3/31/2004","N","1","690572545","34047521","63676205","36315002","7528000","0","2834185","33780773","13037047","226328","140608323","354627469","158852066","89008784","61718534","48777705","31874146","33105495","6325241","1741122","0","177875897","3248215","125668","2652210","2243358"
"3511","0","1120754","451965","1","Wells Fargo Bank, National Association","Sioux Falls","SD","3/31/2004","N","1","347560000","1606000","21645000","18180000","4824000","0","520000","23424000","8614000","0","27661000","263144000","67791000","113697000","20203000","13590000","25379000","30498000","7633000","4626000","0","52187000","270000","1882000","1074000","1290000"
"3514","13975","1231968","804963","1","Bank of the West","San Francisco","CA","3/31/2004","NM","1","29566245","70000","1244640","2829287","230877","0","16383","4201789","721895","0","4153053","21226098","8530554","1622523","3829029","1623558","3100828","714969","942966","114669","0","3005966","57879","24088","129341","99091"
"3603","14165","1206911","936136","1","The Old Second National Bank of Aurora","Aurora","IL","3/31/2004","N","1","1328695","19660","130104","26716","0","0","2160","14068","89148","0","290245","946021","367207","86576","210556","258944","128641","136297","41934","0","0","71970","1418","94","993","4853"
"3604","0","1231333","938233","1","Harris Bank Barrington, National Association","Barrington","IL","3/31/2004","N","1","1508568","256550","245947","0","15000","0","7230","9517","90321","0","139056","1062437","357448","354522","237792","101598","80877","186472","45794","0","0","48971","0","653","3270","5054"
"3618","0","1068294","173333","1","Bank One, National Association","Chicago","IL","3/31/2004","N","1","256701000","21488000","7531000","57845000","4818000","0","201000","9164000","8584000","0","63306000","134585000","81636000","6396000","24355000","10993000","6640000","72000","2979000","3689000","0","87676000","966000","407000","1015000","813000"
"3628","0","1090987","656733","1","MB Financial Bank, National Association","Chicago","IL","3/31/2004","N","1","4108144","10600","209305","220560","0","0","6400","304573","134205","0","976076","2708256","301595","1069715","206682","957546","658853","154737","329547","0","0","321917","9052","92","25830","14695"
"3657","11088","1199974","850036","0","First American Bank","Carpentersville","IL","3/31/2004","NM","1","1903558","3500","0","2309","0","0","7680","39294","128500","0","264758","1492327","348924","537730","175866","411947","236804","401152","69044","259","0","233700","5928","1044","5764","3472"
"3685","0","1231333","885337","1","Harris Bank Joliet, National Association","Joliet","IL","3/31/2004","N","1","1250510","27450","23048","0","0","0","6700","196766","14527","0","280474","758200","288658","293923","81267","165889","154099","38508","27034","0","0","41469","0","1074","5674","1015"
"3709","11987","1208184","1007846","0","First Midwest Bank","Itasca","IL","3/31/2004","SM","1","6809411","12","792408","531124","0","0","40000","290609","269379","64659","2080990","4125884","1539550","647844","985836","1147357","513494","264452","380379","0","0","583335","2194","6977","18704","25404"
"3735","11872","1208661","938840","1","Amcore Bank, National Association","Rockford","IL","3/31/2004","N","1","4569444","3150","471492","192131","0","0","3002","129290","251804","0","1111727","3081462","1215662","247200","452767","747366","816285","88243","151385","0","0","457957","661","4374","29085","11413"
"3753","10807","1210413","925840","0","State Financial Bank, National Association","Hales Corners","WI","3/31/2004","N","1","1485791","20674","198724","67800","0","0","600","136315","20348","735","395483","901446","242583","136017","292017","229393","153066","52736","61772","0","0","119247","0","44","9429","3634"
"3832","15401","1098303","208244","1","Old National Bank","Evansville","IN","3/31/2004","N","1","9033035","0","752512","905524","150000","0","65070","322900","354226","204406","2606676","5577579","2281755","451376","715672","1803384","1139066","329047","127275","3190","0","1060858","19563","2333","107085","19343"
"3890","11473","1094828","663245","1","Simmons First National Bank","Pine Bluff","AR","3/31/2004","N","1","1172442","85910","93850","16530","0","0","1400","33043","69696","71338","145958","735337","131258","186934","258051","250606","118247","8125","67007","0","0","159722","0","1787","4408","3402"
"3924","10117","1246766","654757","0","Community First National Bank","Fargo","ND","3/31/2004","N","1","5415370","0","416732","38013","25000","0","10000","253883","222666","0","1573815","3309968","1613067","778225","638898","855969","513754","130914","138311","19","0","368916","7102","3430","19724","23089"
"4063","14191","0","595270","0","MidFirst Bank","Oklahoma City","OK","3/31/2004","SA","1","9171432","95200","1866285","3560330","0","0","1000","66779","568406","766","2852959","5425658","149016","453965","931582","N/A","1111693","21929","N/A","N/A","N/A","581","41050","8142","18235","93050"
"4201","0","1062621","398350","1","The Stillwater National Bank and Trust Company","Stillwater","OK","3/31/2004","N","1","1666155","0","77995","132935","0","0","15698","38597","90106","12736","180289","1405751","567263","7394","66513","248936","411652","7105","165855","4075","0","267372","350","2284","13497","5122"
"4214","9656","1883693","339858","1","Bank of Oklahoma, National Association","Tulsa","OK","3/31/2004","N","1","11199527","12800","3383923","452734","154027","0","52877","122121","621015","198022","4517289","5486437","2124291","101655","1306237","788109","1653639","44449","240444","2040","0","2287842","3229","12372","26284","32551"
"4239","12231","1058398","509950","0","First United Bank and Trust Company","Durant","OK","3/31/2004","NM","1","1003310","0","18688","50594","0","0","1868","44947","62245","0","120595","799220","80475","53477","296158","233211","150411","2256","47678","0","0","44406","0","1803","4919","6188"
"4297","11780","1078921","112837","0","Hibernia National Bank","New Orleans","LA","3/31/2004","N","1","18675071","382477","604657","1137443","0","0","23630","460279","1189654","53023","3769790","13262046","4955816","2526907","2679684","2117020","1913341","617969","401903","2374","0","2492639","9048","6661","52863","64758"
"4347","14128","1069125","362445","1","National City Bank of Indiana","Indianapolis","IN","3/31/2004","N","1","39929753","44843","7480603","9294873","229736","0","21296","2436571","1809326","0","800858","34534729","2295146","1686128","1565159","1133125","665473","237027","6642","0","0","1759215","11380","388692","189801","437751"
"4382","8814","1208595","693345","1","First Financial Bank, National Association","Terre Haute","IN","3/31/2004","N","1","1529761","17326","100407","260405","0","0","8150","13598","166842","0","376203","970015","167847","74555","308297","266734","147885","22637","15629","0","0","116068","5575","2882","10121","8770"
"4392","11234","1132654","23241","0","Integra Bank National Association","Evansville","IN","3/31/2004","N","1","2634570","0","242100","280460","0","0","4700","159429","93669","0","704779","1655118","606356","117240","271209","541716","284649","117166","33362","0","0","116197","0","686","22184","-26683"
"4533","10264","3299207","381343","0","Citizens Bank and Trust Company","Chillicothe","MO","3/31/2004","NM","1","1012716","1521","62921","100990","0","0","900","48617","33862","0","305982","648499","139068","161791","67178","283461","110129","4945","25102","0","0","46261","0","1212","3858","2780"
"4534","11325","1094314","506249","1","First National Bank of St. Louis","Clayton","MO","3/31/2004","N","1","1131137","34827","173072","20821","0","0","1000","47300","56260","0","169631","862068","478703","68002","75592","120467","84566","48523","19296","8421","0","158658","0","549","1976","3284"
"4799","0","1064278","557858","0","Intrust Bank, National Association","Wichita","KS","3/31/2004","N","1","2679442","23698","288471","7997","0","0","12000","66376","167096","8932","524713","1946504","880465","136700","480687","382408","235241","18098","71911","0","0","588677","948","1493","5126","7047"
"4842","10671","1072442","802129","1","Farmers & Mechanics Bank","Frederick","MD","3/31/2004","SM","1","1518385","29951","83086","82309","39900","0","3626","156731","32224","200","500232","875601","465895","170668","118032","233614","95434","95556","33129","0","0","146935","0","0","3862","5350"
"4852","0","1072442","229427","1","The Citizens National Bank","Laurel","MD","3/31/2004","N","1","1123514","29999","71798","125","37000","0","1340","3467","77761","1160","199956","849256","401649","149393","136753","161790","74824","30536","63611","0","0","87530","362","0","140","4588"
"4857","10579","1132672","61122","0","First United Bank & Trust","Oakland","MD","3/31/2004","NM","1","1141679","14000","71693","166264","0","0","3692","33664","58427","0","209964","822882","76930","61561","319104","202413","141774","48114","57159","0","0","59003","0","1259","2722","3202"
